Class	Length	Reads
rRNAdb-12S-rRNA_Match_Genome	34	14.00
rRNAdb-12S-rRNA_Match_Genome	35	4.00
rRNAdb-12S-rRNA_Match_Genome	36	3.00
rRNAdb-12S-rRNA_Match_Genome	37	7.00
rRNAdb-12S-rRNA_Match_Genome	38	3.00
rRNAdb-12S-rRNA_Match_Genome	39	1.00
rRNAdb-12S-rRNA_Match_Genome	40	8.00
rRNAdb-12S-rRNA_Match_Genome	43	3.00
rRNAdb-16S-rRNA_Match_Genome	15	26339.00
rRNAdb-16S-rRNA_Match_Genome	16	21839.00
rRNAdb-16S-rRNA_Match_Genome	17	18789.00
rRNAdb-16S-rRNA_Match_Genome	18	21053.00
rRNAdb-16S-rRNA_Match_Genome	19	21175.00
rRNAdb-16S-rRNA_Match_Genome	20	31213.00
rRNAdb-16S-rRNA_Match_Genome	21	20613.00
rRNAdb-16S-rRNA_Match_Genome	22	18679.00
rRNAdb-16S-rRNA_Match_Genome	23	19164.00
rRNAdb-16S-rRNA_Match_Genome	24	24070.00
rRNAdb-16S-rRNA_Match_Genome	25	24211.00
rRNAdb-16S-rRNA_Match_Genome	26	18687.00
rRNAdb-16S-rRNA_Match_Genome	27	17438.00
rRNAdb-16S-rRNA_Match_Genome	28	16315.00
rRNAdb-16S-rRNA_Match_Genome	29	18438.00
rRNAdb-16S-rRNA_Match_Genome	30	18920.00
rRNAdb-16S-rRNA_Match_Genome	31	16207.00
rRNAdb-16S-rRNA_Match_Genome	32	18829.00
rRNAdb-16S-rRNA_Match_Genome	33	16606.00
rRNAdb-16S-rRNA_Match_Genome	34	19893.00
rRNAdb-16S-rRNA_Match_Genome	35	20893.00
rRNAdb-16S-rRNA_Match_Genome	36	21025.00
rRNAdb-16S-rRNA_Match_Genome	37	25171.00
rRNAdb-16S-rRNA_Match_Genome	38	17170.00
rRNAdb-16S-rRNA_Match_Genome	39	15960.00
rRNAdb-16S-rRNA_Match_Genome	40	14227.00
rRNAdb-16S-rRNA_Match_Genome	41	10934.00
rRNAdb-16S-rRNA_Match_Genome	42	10981.00
rRNAdb-16S-rRNA_Match_Genome	43	15703.00
rRNAdb-16S-rRNA_Match_Genome	44	33540.00
rRNAdb-16S-rRNA_Match_Genome	45	14144.00
rRNAdb-18S-rRNA_Match_Genome	15	13547.00
rRNAdb-18S-rRNA_Match_Genome	16	11680.00
rRNAdb-18S-rRNA_Match_Genome	17	11049.00
rRNAdb-18S-rRNA_Match_Genome	18	8317.00
rRNAdb-18S-rRNA_Match_Genome	19	6822.00
rRNAdb-18S-rRNA_Match_Genome	20	5921.00
rRNAdb-18S-rRNA_Match_Genome	21	5451.00
rRNAdb-18S-rRNA_Match_Genome	22	5162.00
rRNAdb-18S-rRNA_Match_Genome	23	4454.00
rRNAdb-18S-rRNA_Match_Genome	24	4721.00
rRNAdb-18S-rRNA_Match_Genome	25	4047.00
rRNAdb-18S-rRNA_Match_Genome	26	4360.00
rRNAdb-18S-rRNA_Match_Genome	27	5786.00
rRNAdb-18S-rRNA_Match_Genome	28	3250.00
rRNAdb-18S-rRNA_Match_Genome	29	3002.00
rRNAdb-18S-rRNA_Match_Genome	30	2600.00
rRNAdb-18S-rRNA_Match_Genome	31	2409.00
rRNAdb-18S-rRNA_Match_Genome	32	3652.00
rRNAdb-18S-rRNA_Match_Genome	33	2545.00
rRNAdb-18S-rRNA_Match_Genome	34	2509.00
rRNAdb-18S-rRNA_Match_Genome	35	2144.00
rRNAdb-18S-rRNA_Match_Genome	36	2128.00
rRNAdb-18S-rRNA_Match_Genome	37	1840.00
rRNAdb-18S-rRNA_Match_Genome	38	1535.00
rRNAdb-18S-rRNA_Match_Genome	39	1478.00
rRNAdb-18S-rRNA_Match_Genome	40	1405.00
rRNAdb-18S-rRNA_Match_Genome	41	1327.00
rRNAdb-18S-rRNA_Match_Genome	42	1742.00
rRNAdb-18S-rRNA_Match_Genome	43	1032.00
rRNAdb-18S-rRNA_Match_Genome	44	1492.00
rRNAdb-18S-rRNA_Match_Genome	45	937.00
rRNAdb-28S-rRNA_Match_Genome	15	51906.00
rRNAdb-28S-rRNA_Match_Genome	16	42670.00
rRNAdb-28S-rRNA_Match_Genome	17	40101.00
rRNAdb-28S-rRNA_Match_Genome	18	51270.00
rRNAdb-28S-rRNA_Match_Genome	19	64817.00
rRNAdb-28S-rRNA_Match_Genome	20	23969.00
rRNAdb-28S-rRNA_Match_Genome	21	18051.00
rRNAdb-28S-rRNA_Match_Genome	22	15384.00
rRNAdb-28S-rRNA_Match_Genome	23	12808.00
rRNAdb-28S-rRNA_Match_Genome	24	11555.00
rRNAdb-28S-rRNA_Match_Genome	25	9348.00
rRNAdb-28S-rRNA_Match_Genome	26	6822.00
rRNAdb-28S-rRNA_Match_Genome	27	5381.00
rRNAdb-28S-rRNA_Match_Genome	28	4571.00
rRNAdb-28S-rRNA_Match_Genome	29	4650.00
rRNAdb-28S-rRNA_Match_Genome	30	7012.00
rRNAdb-28S-rRNA_Match_Genome	31	6242.00
rRNAdb-28S-rRNA_Match_Genome	32	10101.00
rRNAdb-28S-rRNA_Match_Genome	33	27101.00
rRNAdb-28S-rRNA_Match_Genome	34	5497.00
rRNAdb-28S-rRNA_Match_Genome	35	6618.00
rRNAdb-28S-rRNA_Match_Genome	36	11209.00
rRNAdb-28S-rRNA_Match_Genome	37	39470.00
rRNAdb-28S-rRNA_Match_Genome	38	5871.00
rRNAdb-28S-rRNA_Match_Genome	39	97568.00
rRNAdb-28S-rRNA_Match_Genome	40	22231.00
rRNAdb-28S-rRNA_Match_Genome	41	3672.00
rRNAdb-28S-rRNA_Match_Genome	42	26800.00
rRNAdb-28S-rRNA_Match_Genome	43	8259.00
rRNAdb-28S-rRNA_Match_Genome	44	17121.00
rRNAdb-28S-rRNA_Match_Genome	45	4915.00
rRNAdb-4.5S-rRNA_Match_Genome	15	29.00
rRNAdb-4.5S-rRNA_Match_Genome	16	19.00
rRNAdb-4.5S-rRNA_Match_Genome	17	19.00
rRNAdb-4.5S-rRNA_Match_Genome	18	14.00
rRNAdb-4.5S-rRNA_Match_Genome	19	14.00
rRNAdb-4.5S-rRNA_Match_Genome	20	21.00
rRNAdb-4.5S-rRNA_Match_Genome	21	8.00
rRNAdb-4.5S-rRNA_Match_Genome	22	9.00
rRNAdb-4.5S-rRNA_Match_Genome	23	2.00
rRNAdb-4.5S-rRNA_Match_Genome	24	9.00
rRNAdb-4.5S-rRNA_Match_Genome	25	9.00
rRNAdb-4.5S-rRNA_Match_Genome	26	10.00
rRNAdb-4.5S-rRNA_Match_Genome	27	4.00
rRNAdb-4.5S-rRNA_Match_Genome	28	4.00
rRNAdb-4.5S-rRNA_Match_Genome	29	13.00
rRNAdb-4.5S-rRNA_Match_Genome	30	3.00
rRNAdb-4.5S-rRNA_Match_Genome	31	3.00
rRNAdb-4.5S-rRNA_Match_Genome	32	3.00
rRNAdb-4.5S-rRNA_Match_Genome	33	1.00
rRNAdb-4.5S-rRNA_Match_Genome	34	8.00
rRNAdb-4.5S-rRNA_Match_Genome	35	4.00
rRNAdb-4.5S-rRNA_Match_Genome	36	5.00
rRNAdb-4.5S-rRNA_Match_Genome	37	6.00
rRNAdb-4.5S-rRNA_Match_Genome	38	3.00
rRNAdb-4.5S-rRNA_Match_Genome	39	7.00
rRNAdb-4.5S-rRNA_Match_Genome	40	10.00
rRNAdb-4.5S-rRNA_Match_Genome	41	14.00
rRNAdb-4.5S-rRNA_Match_Genome	42	5.00
rRNAdb-4.5S-rRNA_Match_Genome	43	5.00
rRNAdb-4.5S-rRNA_Match_Genome	44	1.00
rRNAdb-4.5S-rRNA_Match_Genome	45	2.00
rRNAdb-45S-rRNA_Match_Genome	15	9954.00
rRNAdb-45S-rRNA_Match_Genome	16	2326.00
rRNAdb-45S-rRNA_Match_Genome	17	1731.00
rRNAdb-45S-rRNA_Match_Genome	18	612.00
rRNAdb-45S-rRNA_Match_Genome	19	442.00
rRNAdb-45S-rRNA_Match_Genome	20	64.00
rRNAdb-45S-rRNA_Match_Genome	21	1064.00
rRNAdb-45S-rRNA_Match_Genome	22	12.00
rRNAdb-45S-rRNA_Match_Genome	23	11.00
rRNAdb-45S-rRNA_Match_Genome	24	15.00
rRNAdb-45S-rRNA_Match_Genome	25	10.00
rRNAdb-45S-rRNA_Match_Genome	26	8.00
rRNAdb-45S-rRNA_Match_Genome	27	3.00
rRNAdb-45S-rRNA_Match_Genome	28	8.00
rRNAdb-45S-rRNA_Match_Genome	29	2.00
rRNAdb-45S-rRNA_Match_Genome	30	6.00
rRNAdb-45S-rRNA_Match_Genome	31	2.00
rRNAdb-45S-rRNA_Match_Genome	32	2.00
rRNAdb-45S-rRNA_Match_Genome	33	4.00
rRNAdb-45S-rRNA_Match_Genome	34	5.00
rRNAdb-45S-rRNA_Match_Genome	35	3.00
rRNAdb-45S-rRNA_Match_Genome	36	1.00
rRNAdb-45S-rRNA_Match_Genome	37	9.00
rRNAdb-45S-rRNA_Match_Genome	38	8.00
rRNAdb-45S-rRNA_Match_Genome	39	5.00
rRNAdb-45S-rRNA_Match_Genome	40	1.00
rRNAdb-45S-rRNA_Match_Genome	41	6.00
rRNAdb-45S-rRNA_Match_Genome	45	1.00
rRNAdb-5.8S-rRNA_Match_Genome	15	6227.00
rRNAdb-5.8S-rRNA_Match_Genome	16	5868.00
rRNAdb-5.8S-rRNA_Match_Genome	17	4628.00
rRNAdb-5.8S-rRNA_Match_Genome	18	880.00
rRNAdb-5.8S-rRNA_Match_Genome	19	366.00
rRNAdb-5.8S-rRNA_Match_Genome	20	169.00
rRNAdb-5.8S-rRNA_Match_Genome	21	137.00
rRNAdb-5.8S-rRNA_Match_Genome	22	104.00
rRNAdb-5.8S-rRNA_Match_Genome	23	90.00
rRNAdb-5.8S-rRNA_Match_Genome	24	50.00
rRNAdb-5.8S-rRNA_Match_Genome	25	41.00
rRNAdb-5.8S-rRNA_Match_Genome	26	20.00
rRNAdb-5.8S-rRNA_Match_Genome	27	10.00
rRNAdb-5.8S-rRNA_Match_Genome	28	16.00
rRNAdb-5.8S-rRNA_Match_Genome	29	7.00
rRNAdb-5S-rRNA_Match_Genome	15	9276.00
rRNAdb-5S-rRNA_Match_Genome	16	3786.00
rRNAdb-5S-rRNA_Match_Genome	17	3853.00
rRNAdb-5S-rRNA_Match_Genome	18	4602.00
rRNAdb-5S-rRNA_Match_Genome	19	5530.00
rRNAdb-5S-rRNA_Match_Genome	20	3713.00
rRNAdb-5S-rRNA_Match_Genome	21	1946.00
rRNAdb-5S-rRNA_Match_Genome	22	2274.00
rRNAdb-5S-rRNA_Match_Genome	23	2130.00
rRNAdb-5S-rRNA_Match_Genome	24	2055.00
rRNAdb-5S-rRNA_Match_Genome	25	2931.00
rRNAdb-5S-rRNA_Match_Genome	26	1119.00
rRNAdb-5S-rRNA_Match_Genome	27	2288.00
rRNAdb-5S-rRNA_Match_Genome	28	7032.00
rRNAdb-5S-rRNA_Match_Genome	29	1884.00
rRNAdb-5S-rRNA_Match_Genome	30	438.00
rRNAdb-5S-rRNA_Match_Genome	31	426.00
rRNAdb-5S-rRNA_Match_Genome	32	1121.00
rRNAdb-5S-rRNA_Match_Genome	33	1312.00
rRNAdb-5S-rRNA_Match_Genome	34	1692.00
rRNAdb-5S-rRNA_Match_Genome	35	2243.00
rRNAdb-5S-rRNA_Match_Genome	36	3190.00
rRNAdb-5S-rRNA_Match_Genome	37	5231.00
rRNAdb-5S-rRNA_Match_Genome	38	3937.00
rRNAdb-5S-rRNA_Match_Genome	39	1649.00
rRNAdb-5S-rRNA_Match_Genome	40	1412.00
rRNAdb-5S-rRNA_Match_Genome	41	1751.00
rRNAdb-5S-rRNA_Match_Genome	42	1306.00
rRNAdb-5S-rRNA_Match_Genome	43	1401.00
rRNAdb-5S-rRNA_Match_Genome	44	1409.00
rRNAdb-5S-rRNA_Match_Genome	45	1555.00
YRNAdb-YRNA_Match_Genome	15	99.00
YRNAdb-YRNA_Match_Genome	16	121.00
YRNAdb-YRNA_Match_Genome	17	38.00
YRNAdb-YRNA_Match_Genome	18	19.00
YRNAdb-YRNA_Match_Genome	19	34.00
YRNAdb-YRNA_Match_Genome	20	50.00
YRNAdb-YRNA_Match_Genome	21	87.00
YRNAdb-YRNA_Match_Genome	22	86.00
YRNAdb-YRNA_Match_Genome	23	291.00
YRNAdb-YRNA_Match_Genome	24	115.00
YRNAdb-YRNA_Match_Genome	25	137.00
YRNAdb-YRNA_Match_Genome	26	133.00
YRNAdb-YRNA_Match_Genome	27	293.00
YRNAdb-YRNA_Match_Genome	28	144.00
YRNAdb-YRNA_Match_Genome	29	46.00
YRNAdb-YRNA_Match_Genome	30	58.00
YRNAdb-YRNA_Match_Genome	31	57.00
YRNAdb-YRNA_Match_Genome	32	22.00
YRNAdb-YRNA_Match_Genome	33	39.00
YRNAdb-YRNA_Match_Genome	34	33.00
YRNAdb-YRNA_Match_Genome	35	17.00
YRNAdb-YRNA_Match_Genome	36	14.00
YRNAdb-YRNA_Match_Genome	37	14.00
YRNAdb-YRNA_Match_Genome	38	11.00
YRNAdb-YRNA_Match_Genome	39	31.00
YRNAdb-YRNA_Match_Genome	40	10.00
YRNAdb-YRNA_Match_Genome	41	1.00
YRNAdb-YRNA_Match_Genome	42	5.00
YRNAdb-YRNA_Match_Genome	43	2.00
YRNAdb-YRNA_Match_Genome	44	7.00
YRNAdb-YRNA_Match_Genome	45	6.00
YRNAdb-RNY1-YRNA_Match_Genome	15	77.00
YRNAdb-RNY1-YRNA_Match_Genome	16	99.00
YRNAdb-RNY1-YRNA_Match_Genome	17	26.00
YRNAdb-RNY1-YRNA_Match_Genome	18	15.00
YRNAdb-RNY1-YRNA_Match_Genome	19	28.00
YRNAdb-RNY1-YRNA_Match_Genome	20	22.00
YRNAdb-RNY1-YRNA_Match_Genome	21	42.00
YRNAdb-RNY1-YRNA_Match_Genome	22	54.00
YRNAdb-RNY1-YRNA_Match_Genome	23	246.00
YRNAdb-RNY1-YRNA_Match_Genome	24	55.00
YRNAdb-RNY1-YRNA_Match_Genome	25	59.00
YRNAdb-RNY1-YRNA_Match_Genome	26	106.00
YRNAdb-RNY1-YRNA_Match_Genome	27	279.00
YRNAdb-RNY1-YRNA_Match_Genome	28	136.00
YRNAdb-RNY1-YRNA_Match_Genome	29	35.00
YRNAdb-RNY1-YRNA_Match_Genome	30	55.00
YRNAdb-RNY1-YRNA_Match_Genome	31	45.00
YRNAdb-RNY1-YRNA_Match_Genome	32	21.00
YRNAdb-RNY1-YRNA_Match_Genome	33	35.00
YRNAdb-RNY1-YRNA_Match_Genome	34	28.00
YRNAdb-RNY1-YRNA_Match_Genome	35	15.00
YRNAdb-RNY1-YRNA_Match_Genome	36	12.00
YRNAdb-RNY1-YRNA_Match_Genome	37	14.00
YRNAdb-RNY1-YRNA_Match_Genome	38	8.00
YRNAdb-RNY1-YRNA_Match_Genome	39	21.00
YRNAdb-RNY1-YRNA_Match_Genome	40	1.00
YRNAdb-RNY1-YRNA_Match_Genome	42	2.00
YRNAdb-RNY1-YRNA_Match_Genome	44	1.00
YRNAdb-RNY1-YRNA_Match_Genome	45	2.00
YRNAdb-RNY3-YRNA_Match_Genome	15	22.00
YRNAdb-RNY3-YRNA_Match_Genome	16	22.00
YRNAdb-RNY3-YRNA_Match_Genome	17	12.00
YRNAdb-RNY3-YRNA_Match_Genome	18	4.00
YRNAdb-RNY3-YRNA_Match_Genome	19	6.00
YRNAdb-RNY3-YRNA_Match_Genome	20	28.00
YRNAdb-RNY3-YRNA_Match_Genome	21	45.00
YRNAdb-RNY3-YRNA_Match_Genome	22	32.00
YRNAdb-RNY3-YRNA_Match_Genome	23	45.00
YRNAdb-RNY3-YRNA_Match_Genome	24	60.00
YRNAdb-RNY3-YRNA_Match_Genome	25	78.00
YRNAdb-RNY3-YRNA_Match_Genome	26	27.00
YRNAdb-RNY3-YRNA_Match_Genome	27	14.00
YRNAdb-RNY3-YRNA_Match_Genome	28	8.00
YRNAdb-RNY3-YRNA_Match_Genome	29	11.00
YRNAdb-RNY3-YRNA_Match_Genome	30	3.00
YRNAdb-RNY3-YRNA_Match_Genome	31	12.00
YRNAdb-RNY3-YRNA_Match_Genome	32	1.00
YRNAdb-RNY3-YRNA_Match_Genome	33	4.00
YRNAdb-RNY3-YRNA_Match_Genome	34	5.00
YRNAdb-RNY3-YRNA_Match_Genome	35	2.00
YRNAdb-RNY3-YRNA_Match_Genome	36	2.00
YRNAdb-RNY3-YRNA_Match_Genome	38	3.00
YRNAdb-RNY3-YRNA_Match_Genome	39	10.00
YRNAdb-RNY3-YRNA_Match_Genome	40	9.00
YRNAdb-RNY3-YRNA_Match_Genome	41	1.00
YRNAdb-RNY3-YRNA_Match_Genome	42	3.00
YRNAdb-RNY3-YRNA_Match_Genome	43	2.00
YRNAdb-RNY3-YRNA_Match_Genome	44	6.00
YRNAdb-RNY3-YRNA_Match_Genome	45	4.00
rRNAdb-rRNA_Unmatch_Genome	15	211.00
rRNAdb-rRNA_Unmatch_Genome	16	2999.00
rRNAdb-rRNA_Unmatch_Genome	17	75449.00
rRNAdb-rRNA_Unmatch_Genome	18	23343.00
rRNAdb-rRNA_Unmatch_Genome	19	20841.00
rRNAdb-rRNA_Unmatch_Genome	20	13297.00
rRNAdb-rRNA_Unmatch_Genome	21	17992.00
rRNAdb-rRNA_Unmatch_Genome	22	12030.00
rRNAdb-rRNA_Unmatch_Genome	23	36004.00
rRNAdb-rRNA_Unmatch_Genome	24	45539.00
rRNAdb-rRNA_Unmatch_Genome	25	10197.00
rRNAdb-rRNA_Unmatch_Genome	26	19340.00
rRNAdb-rRNA_Unmatch_Genome	27	15674.00
rRNAdb-rRNA_Unmatch_Genome	28	7457.00
rRNAdb-rRNA_Unmatch_Genome	29	6428.00
rRNAdb-rRNA_Unmatch_Genome	30	6538.00
rRNAdb-rRNA_Unmatch_Genome	31	27775.00
rRNAdb-rRNA_Unmatch_Genome	32	7415.00
rRNAdb-rRNA_Unmatch_Genome	33	8006.00
rRNAdb-rRNA_Unmatch_Genome	34	4045.00
rRNAdb-rRNA_Unmatch_Genome	35	3187.00
rRNAdb-rRNA_Unmatch_Genome	36	4547.00
rRNAdb-rRNA_Unmatch_Genome	37	3708.00
rRNAdb-rRNA_Unmatch_Genome	38	4023.00
rRNAdb-rRNA_Unmatch_Genome	39	3016.00
rRNAdb-rRNA_Unmatch_Genome	40	3583.00
rRNAdb-rRNA_Unmatch_Genome	41	9538.00
rRNAdb-rRNA_Unmatch_Genome	42	4252.00
rRNAdb-rRNA_Unmatch_Genome	43	1544.00
rRNAdb-rRNA_Unmatch_Genome	44	2169.00
rRNAdb-rRNA_Unmatch_Genome	45	1533.00
rRNAdb-12S-rRNA_Unmatch_Genome	18	5.00
rRNAdb-12S-rRNA_Unmatch_Genome	19	25.00
rRNAdb-12S-rRNA_Unmatch_Genome	20	5.00
rRNAdb-12S-rRNA_Unmatch_Genome	21	2.00
rRNAdb-12S-rRNA_Unmatch_Genome	23	1.00
rRNAdb-12S-rRNA_Unmatch_Genome	25	1.00
rRNAdb-12S-rRNA_Unmatch_Genome	26	2.00
rRNAdb-12S-rRNA_Unmatch_Genome	30	1.00
rRNAdb-12S-rRNA_Unmatch_Genome	40	3.00
rRNAdb-18S-rRNA_Unmatch_Genome	16	2.00
rRNAdb-18S-rRNA_Unmatch_Genome	17	6.00
rRNAdb-18S-rRNA_Unmatch_Genome	18	32.00
rRNAdb-18S-rRNA_Unmatch_Genome	19	65.00
rRNAdb-18S-rRNA_Unmatch_Genome	20	79.00
rRNAdb-18S-rRNA_Unmatch_Genome	21	82.00
rRNAdb-18S-rRNA_Unmatch_Genome	22	54.00
rRNAdb-18S-rRNA_Unmatch_Genome	23	95.00
rRNAdb-18S-rRNA_Unmatch_Genome	24	206.00
rRNAdb-18S-rRNA_Unmatch_Genome	25	109.00
rRNAdb-18S-rRNA_Unmatch_Genome	26	62.00
rRNAdb-18S-rRNA_Unmatch_Genome	27	17.00
rRNAdb-18S-rRNA_Unmatch_Genome	28	18.00
rRNAdb-18S-rRNA_Unmatch_Genome	29	50.00
rRNAdb-18S-rRNA_Unmatch_Genome	30	36.00
rRNAdb-18S-rRNA_Unmatch_Genome	31	47.00
rRNAdb-18S-rRNA_Unmatch_Genome	32	55.00
rRNAdb-18S-rRNA_Unmatch_Genome	33	32.00
rRNAdb-18S-rRNA_Unmatch_Genome	34	42.00
rRNAdb-18S-rRNA_Unmatch_Genome	35	36.00
rRNAdb-18S-rRNA_Unmatch_Genome	36	57.00
rRNAdb-18S-rRNA_Unmatch_Genome	37	23.00
rRNAdb-18S-rRNA_Unmatch_Genome	38	38.00
rRNAdb-18S-rRNA_Unmatch_Genome	39	37.00
rRNAdb-18S-rRNA_Unmatch_Genome	40	90.00
rRNAdb-18S-rRNA_Unmatch_Genome	41	30.00
rRNAdb-18S-rRNA_Unmatch_Genome	42	31.00
rRNAdb-18S-rRNA_Unmatch_Genome	43	22.00
rRNAdb-18S-rRNA_Unmatch_Genome	44	11.00
rRNAdb-18S-rRNA_Unmatch_Genome	45	16.00
rRNAdb-28S-rRNA_Unmatch_Genome	15	210.00
rRNAdb-28S-rRNA_Unmatch_Genome	16	2946.00
rRNAdb-28S-rRNA_Unmatch_Genome	17	74337.00
rRNAdb-28S-rRNA_Unmatch_Genome	18	18288.00
rRNAdb-28S-rRNA_Unmatch_Genome	19	18163.00
rRNAdb-28S-rRNA_Unmatch_Genome	20	8289.00
rRNAdb-28S-rRNA_Unmatch_Genome	21	14149.00
rRNAdb-28S-rRNA_Unmatch_Genome	22	9337.00
rRNAdb-28S-rRNA_Unmatch_Genome	23	30140.00
rRNAdb-28S-rRNA_Unmatch_Genome	24	42187.00
rRNAdb-28S-rRNA_Unmatch_Genome	25	5969.00
rRNAdb-28S-rRNA_Unmatch_Genome	26	9731.00
rRNAdb-28S-rRNA_Unmatch_Genome	27	7349.00
rRNAdb-28S-rRNA_Unmatch_Genome	28	4177.00
rRNAdb-28S-rRNA_Unmatch_Genome	29	3205.00
rRNAdb-28S-rRNA_Unmatch_Genome	30	3044.00
rRNAdb-28S-rRNA_Unmatch_Genome	31	22951.00
