Class	Length	Reads
Clean_Reads	15	643177
Clean_Reads	16	1839955
Clean_Reads	17	607539
Clean_Reads	18	497582
Clean_Reads	19	469051
Clean_Reads	20	428047
Clean_Reads	21	444149
Clean_Reads	22	432262
Clean_Reads	23	400912
Clean_Reads	24	382968
Clean_Reads	25	378256
Clean_Reads	26	404453
Clean_Reads	27	319043
Clean_Reads	28	326620
Clean_Reads	29	381079
Clean_Reads	30	401184
Clean_Reads	31	441532
Clean_Reads	32	385907
Clean_Reads	33	377456
Clean_Reads	34	283511
Clean_Reads	35	243484
Clean_Reads	36	196447
Clean_Reads	37	194870
Clean_Reads	38	224821
Clean_Reads	39	221425
Clean_Reads	40	251215
Clean_Reads	41	572222
Clean_Reads	42	548061
Clean_Reads	43	415624
Clean_Reads	44	232675
Clean_Reads	45	134507
Match_Genome	15	642209
Match_Genome	16	1820281
Match_Genome	17	464512
Match_Genome	18	341205
Match_Genome	19	226002
Match_Genome	20	128568
Match_Genome	21	86897
Match_Genome	22	95242
Match_Genome	23	92485
Match_Genome	24	67332
Match_Genome	25	106116
Match_Genome	26	158375
Match_Genome	27	58429
Match_Genome	28	54409
Match_Genome	29	94472
Match_Genome	30	151261
Match_Genome	31	184483
Match_Genome	32	143276
Match_Genome	33	155531
Match_Genome	34	65259
Match_Genome	35	52608
Match_Genome	36	43072
Match_Genome	37	52565
Match_Genome	38	39419
Match_Genome	39	80919
Match_Genome	40	54903
Match_Genome	41	277935
Match_Genome	42	107427
Match_Genome	43	109516
Match_Genome	44	59166
Match_Genome	45	38745
miRBase-miRNA_Match_Genome	15	9550.00
miRBase-miRNA_Match_Genome	16	10326.00
miRBase-miRNA_Match_Genome	17	1869.00
miRBase-miRNA_Match_Genome	18	877.00
miRBase-miRNA_Match_Genome	19	1458.00
miRBase-miRNA_Match_Genome	20	4224.00
miRBase-miRNA_Match_Genome	21	10074.00
miRBase-miRNA_Match_Genome	22	28187.00
miRBase-miRNA_Match_Genome	23	22717.00
miRBase-miRNA_Match_Genome	24	3140.00
miRBase-miRNA_Match_Genome	25	431.00
miRBase-miRNA_Match_Genome	26	108.00
miRBase-miRNA_Match_Genome	27	35.00
miRBase-miRNA_Match_Genome	28	31.00
miRBase-miRNA_Match_Genome	29	71.00
miRBase-miRNA_Match_Genome	30	56.00
miRBase-miRNA_Match_Genome	31	42.00
miRBase-miRNA_Match_Genome	32	9.00
miRBase-miRNA_Match_Genome	33	6.00
miRBase-miRNA_Match_Genome	34	2.00
miRBase-miRNA_Match_Genome	35	3.00
miRBase-miRNA_Match_Genome	37	2.00
miRBase-miRNA_Match_Genome	40	2.00
miRBase-miRNA_Match_Genome	43	3.00
miRBase-miRNA_Unmatch_Genome	20	1.00
rRNAdb-rRNA_Match_Genome	15	68906.00
rRNAdb-rRNA_Match_Genome	16	63352.00
rRNAdb-rRNA_Match_Genome	17	59594.00
rRNAdb-rRNA_Match_Genome	18	57564.00
rRNAdb-rRNA_Match_Genome	19	53971.00
rRNAdb-rRNA_Match_Genome	20	42456.00
rRNAdb-rRNA_Match_Genome	21	36802.00
rRNAdb-rRNA_Match_Genome	22	32369.00
rRNAdb-rRNA_Match_Genome	23	31148.00
rRNAdb-rRNA_Match_Genome	24	26595.00
rRNAdb-rRNA_Match_Genome	25	25146.00
rRNAdb-rRNA_Match_Genome	26	21854.00
rRNAdb-rRNA_Match_Genome	27	19286.00
rRNAdb-rRNA_Match_Genome	28	17626.00
rRNAdb-rRNA_Match_Genome	29	17526.00
rRNAdb-rRNA_Match_Genome	30	16804.00
rRNAdb-rRNA_Match_Genome	31	16077.00
rRNAdb-rRNA_Match_Genome	32	18072.00
rRNAdb-rRNA_Match_Genome	33	23203.00
rRNAdb-rRNA_Match_Genome	34	17347.00
rRNAdb-rRNA_Match_Genome	35	16554.00
rRNAdb-rRNA_Match_Genome	36	18094.00
rRNAdb-rRNA_Match_Genome	37	29111.00
rRNAdb-rRNA_Match_Genome	38	16279.00
rRNAdb-rRNA_Match_Genome	39	46167.00
rRNAdb-rRNA_Match_Genome	40	21042.00
rRNAdb-rRNA_Match_Genome	41	15561.00
rRNAdb-rRNA_Match_Genome	42	40894.00
rRNAdb-rRNA_Match_Genome	43	21319.00
rRNAdb-rRNA_Match_Genome	44	32531.00
rRNAdb-rRNA_Match_Genome	45	17565.00
rRNAdb-12S-rRNA_Match_Genome	15	507.00
rRNAdb-12S-rRNA_Match_Genome	16	386.00
rRNAdb-12S-rRNA_Match_Genome	17	156.00
rRNAdb-12S-rRNA_Match_Genome	18	146.00
rRNAdb-12S-rRNA_Match_Genome	19	124.00
rRNAdb-12S-rRNA_Match_Genome	20	124.00
rRNAdb-12S-rRNA_Match_Genome	21	232.00
rRNAdb-12S-rRNA_Match_Genome	22	230.00
rRNAdb-12S-rRNA_Match_Genome	23	182.00
rRNAdb-12S-rRNA_Match_Genome	24	125.00
rRNAdb-12S-rRNA_Match_Genome	25	64.00
rRNAdb-12S-rRNA_Match_Genome	26	87.00
rRNAdb-12S-rRNA_Match_Genome	27	16.00
rRNAdb-12S-rRNA_Match_Genome	28	3.00
rRNAdb-12S-rRNA_Match_Genome	29	18.00
rRNAdb-12S-rRNA_Match_Genome	30	16.00
rRNAdb-12S-rRNA_Match_Genome	31	12.00
rRNAdb-12S-rRNA_Match_Genome	32	14.00
rRNAdb-12S-rRNA_Match_Genome	33	5.00
rRNAdb-12S-rRNA_Match_Genome	34	4.00
rRNAdb-12S-rRNA_Match_Genome	35	8.00
rRNAdb-12S-rRNA_Match_Genome	36	3.00
rRNAdb-12S-rRNA_Match_Genome	37	3.00
rRNAdb-12S-rRNA_Match_Genome	38	1.00
rRNAdb-12S-rRNA_Match_Genome	39	1.00
rRNAdb-16S-rRNA_Match_Genome	15	1083.00
rRNAdb-16S-rRNA_Match_Genome	16	1250.00
rRNAdb-16S-rRNA_Match_Genome	17	1174.00
rRNAdb-16S-rRNA_Match_Genome	18	1530.00
rRNAdb-16S-rRNA_Match_Genome	19	1613.00
rRNAdb-16S-rRNA_Match_Genome	20	2082.00
rRNAdb-16S-rRNA_Match_Genome	21	2196.00
rRNAdb-16S-rRNA_Match_Genome	22	2251.00
rRNAdb-16S-rRNA_Match_Genome	23	2593.00
rRNAdb-16S-rRNA_Match_Genome	24	3275.00
rRNAdb-16S-rRNA_Match_Genome	25	3556.00
rRNAdb-16S-rRNA_Match_Genome	26	4016.00
rRNAdb-16S-rRNA_Match_Genome	27	4079.00
rRNAdb-16S-rRNA_Match_Genome	28	5105.00
rRNAdb-16S-rRNA_Match_Genome	29	6774.00
rRNAdb-16S-rRNA_Match_Genome	30	7617.00
rRNAdb-16S-rRNA_Match_Genome	31	7184.00
rRNAdb-16S-rRNA_Match_Genome	32	7766.00
rRNAdb-16S-rRNA_Match_Genome	33	8581.00
rRNAdb-16S-rRNA_Match_Genome	34	10417.00
rRNAdb-16S-rRNA_Match_Genome	35	9861.00
rRNAdb-16S-rRNA_Match_Genome	36	9205.00
rRNAdb-16S-rRNA_Match_Genome	37	10565.00
rRNAdb-16S-rRNA_Match_Genome	38	9439.00
rRNAdb-16S-rRNA_Match_Genome	39	8441.00
rRNAdb-16S-rRNA_Match_Genome	40	10284.00
rRNAdb-16S-rRNA_Match_Genome	41	9798.00
rRNAdb-16S-rRNA_Match_Genome	42	10684.00
rRNAdb-16S-rRNA_Match_Genome	43	8910.00
rRNAdb-16S-rRNA_Match_Genome	44	10101.00
rRNAdb-16S-rRNA_Match_Genome	45	11710.00
rRNAdb-18S-rRNA_Match_Genome	15	21826.00
rRNAdb-18S-rRNA_Match_Genome	16	20189.00
rRNAdb-18S-rRNA_Match_Genome	17	21974.00
rRNAdb-18S-rRNA_Match_Genome	18	16733.00
rRNAdb-18S-rRNA_Match_Genome	19	13702.00
rRNAdb-18S-rRNA_Match_Genome	20	11324.00
rRNAdb-18S-rRNA_Match_Genome	21	9665.00
rRNAdb-18S-rRNA_Match_Genome	22	9380.00
rRNAdb-18S-rRNA_Match_Genome	23	8206.00
rRNAdb-18S-rRNA_Match_Genome	24	6730.00
rRNAdb-18S-rRNA_Match_Genome	25	6986.00
rRNAdb-18S-rRNA_Match_Genome	26	5651.00
rRNAdb-18S-rRNA_Match_Genome	27	5157.00
rRNAdb-18S-rRNA_Match_Genome	28	4993.00
rRNAdb-18S-rRNA_Match_Genome	29	3588.00
rRNAdb-18S-rRNA_Match_Genome	30	3122.00
rRNAdb-18S-rRNA_Match_Genome	31	3505.00
rRNAdb-18S-rRNA_Match_Genome	32	4211.00
rRNAdb-18S-rRNA_Match_Genome	33	2798.00
rRNAdb-18S-rRNA_Match_Genome	34	2491.00
rRNAdb-18S-rRNA_Match_Genome	35	2052.00
rRNAdb-18S-rRNA_Match_Genome	36	2140.00
rRNAdb-18S-rRNA_Match_Genome	37	2081.00
rRNAdb-18S-rRNA_Match_Genome	38	1507.00
rRNAdb-18S-rRNA_Match_Genome	39	1659.00
rRNAdb-18S-rRNA_Match_Genome	40	1475.00
rRNAdb-18S-rRNA_Match_Genome	41	1749.00
rRNAdb-18S-rRNA_Match_Genome	42	2842.00
rRNAdb-18S-rRNA_Match_Genome	43	1307.00
rRNAdb-18S-rRNA_Match_Genome	44	1951.00
rRNAdb-18S-rRNA_Match_Genome	45	1044.00
rRNAdb-28S-rRNA_Match_Genome	15	40773.00
rRNAdb-28S-rRNA_Match_Genome	16	38798.00
rRNAdb-28S-rRNA_Match_Genome	17	34067.00
rRNAdb-28S-rRNA_Match_Genome	18	37552.00
rRNAdb-28S-rRNA_Match_Genome	19	37204.00
rRNAdb-28S-rRNA_Match_Genome	20	28169.00
rRNAdb-28S-rRNA_Match_Genome	21	23745.00
rRNAdb-28S-rRNA_Match_Genome	22	19606.00
rRNAdb-28S-rRNA_Match_Genome	23	18763.00
rRNAdb-28S-rRNA_Match_Genome	24	14982.00
rRNAdb-28S-rRNA_Match_Genome	25	13044.00
rRNAdb-28S-rRNA_Match_Genome	26	11205.00
rRNAdb-28S-rRNA_Match_Genome	27	9173.00
rRNAdb-28S-rRNA_Match_Genome	28	7034.00
rRNAdb-28S-rRNA_Match_Genome	29	6562.00
rRNAdb-28S-rRNA_Match_Genome	30	5689.00
rRNAdb-28S-rRNA_Match_Genome	31	5134.00
rRNAdb-28S-rRNA_Match_Genome	32	5522.00
rRNAdb-28S-rRNA_Match_Genome	33	11475.00
rRNAdb-28S-rRNA_Match_Genome	34	3733.00
rRNAdb-28S-rRNA_Match_Genome	35	3869.00
rRNAdb-28S-rRNA_Match_Genome	36	5675.00
rRNAdb-28S-rRNA_Match_Genome	37	14993.00
rRNAdb-28S-rRNA_Match_Genome	38	3979.00
rRNAdb-28S-rRNA_Match_Genome	39	35374.00
rRNAdb-28S-rRNA_Match_Genome	40	8925.00
rRNAdb-28S-rRNA_Match_Genome	41	3570.00
