Class	Length	Reads
Clean_Reads	15	106034
Clean_Reads	16	289682
Clean_Reads	17	90255
Clean_Reads	18	69420
Clean_Reads	19	78923
Clean_Reads	20	61142
Clean_Reads	21	90945
Clean_Reads	22	135756
Clean_Reads	23	81072
Clean_Reads	24	52741
Clean_Reads	25	51176
Clean_Reads	26	55451
Clean_Reads	27	34734
Clean_Reads	28	39409
Clean_Reads	29	51966
Clean_Reads	30	86049
Clean_Reads	31	147836
Clean_Reads	32	84802
Clean_Reads	33	66226
Clean_Reads	34	33732
Clean_Reads	35	19973
Clean_Reads	36	15967
Clean_Reads	37	19824
Clean_Reads	38	14217
Clean_Reads	39	30646
Clean_Reads	40	14505
Clean_Reads	41	15458
Clean_Reads	42	18586
Clean_Reads	43	10776
Clean_Reads	44	11040
Clean_Reads	45	8487
Match_Genome	15	105951
Match_Genome	16	286116
Match_Genome	17	62435
Match_Genome	18	52202
Match_Genome	19	53628
Match_Genome	20	31011
Match_Genome	21	59491
Match_Genome	22	105481
Match_Genome	23	49244
Match_Genome	24	19189
Match_Genome	25	25373
Match_Genome	26	35142
Match_Genome	27	14542
Match_Genome	28	14647
Match_Genome	29	23532
Match_Genome	30	45913
Match_Genome	31	119313
Match_Genome	32	56881
Match_Genome	33	50341
Match_Genome	34	21295
Match_Genome	35	9546
Match_Genome	36	6938
Match_Genome	37	11626
Match_Genome	38	4770
Match_Genome	39	23948
Match_Genome	40	7753
Match_Genome	41	7608
Match_Genome	42	10235
Match_Genome	43	4933
Match_Genome	44	6711
Match_Genome	45	5279
miRBase-miRNA_Match_Genome	15	1859.00
miRBase-miRNA_Match_Genome	16	2053.00
miRBase-miRNA_Match_Genome	17	640.00
miRBase-miRNA_Match_Genome	18	678.00
miRBase-miRNA_Match_Genome	19	2005.00
miRBase-miRNA_Match_Genome	20	10374.00
miRBase-miRNA_Match_Genome	21	45835.00
miRBase-miRNA_Match_Genome	22	89714.00
miRBase-miRNA_Match_Genome	23	35283.00
miRBase-miRNA_Match_Genome	24	6913.00
miRBase-miRNA_Match_Genome	25	815.00
miRBase-miRNA_Match_Genome	26	153.00
miRBase-miRNA_Match_Genome	27	19.00
miRBase-miRNA_Match_Genome	29	7.00
miRBase-miRNA_Match_Genome	30	7.00
miRBase-miRNA_Match_Genome	31	5.00
miRBase-miRNA_Match_Genome	32	1.00
miRBase-miRNA_Match_Genome	33	2.00
miRBase-miRNA_Match_Genome	35	1.00
miRBase-miRNA_Match_Genome	39	1.00
miRBase-miRNA_Match_Genome	40	1.00
miRBase-miRNA_Match_Genome	41	4.00
miRBase-miRNA_Match_Genome	42	5.00
miRBase-miRNA_Match_Genome	43	2.00
miRBase-miRNA_Match_Genome	45	1.00
rRNAdb-rRNA_Match_Genome	15	11439.00
rRNAdb-rRNA_Match_Genome	16	9641.00
rRNAdb-rRNA_Match_Genome	17	7706.00
rRNAdb-rRNA_Match_Genome	18	9661.00
rRNAdb-rRNA_Match_Genome	19	12348.00
rRNAdb-rRNA_Match_Genome	20	5123.00
rRNAdb-rRNA_Match_Genome	21	3823.00
rRNAdb-rRNA_Match_Genome	22	3456.00
rRNAdb-rRNA_Match_Genome	23	3313.00
rRNAdb-rRNA_Match_Genome	24	2575.00
rRNAdb-rRNA_Match_Genome	25	2157.00
rRNAdb-rRNA_Match_Genome	26	2007.00
rRNAdb-rRNA_Match_Genome	27	1807.00
rRNAdb-rRNA_Match_Genome	28	1794.00
rRNAdb-rRNA_Match_Genome	29	1791.00
rRNAdb-rRNA_Match_Genome	30	1685.00
rRNAdb-rRNA_Match_Genome	31	1715.00
rRNAdb-rRNA_Match_Genome	32	2604.00
rRNAdb-rRNA_Match_Genome	33	5815.00
rRNAdb-rRNA_Match_Genome	34	1665.00
rRNAdb-rRNA_Match_Genome	35	1701.00
rRNAdb-rRNA_Match_Genome	36	2664.00
rRNAdb-rRNA_Match_Genome	37	8734.00
rRNAdb-rRNA_Match_Genome	38	1882.00
rRNAdb-rRNA_Match_Genome	39	20963.00
rRNAdb-rRNA_Match_Genome	40	4939.00
rRNAdb-rRNA_Match_Genome	41	1266.00
rRNAdb-rRNA_Match_Genome	42	7496.00
rRNAdb-rRNA_Match_Genome	43	2623.00
